Mes,Escenario,Unidades Vendidas (bolsas),Ingresos (€),COGS (€),Margen Bruto (€),OPEX (€),EBITDA (€),Margen EBITDA (%)
23,Base,15000,42000.0,20250.0,21750.0,42781.0,-21031.0,-50.07%
23,Agresivo,22500,63000.0,30375.0,32625.0,42781.0,-10156.0,-16.12%
24,Conservador,9600,26880.0,12960.0,13920.0,42781.0,-28861.0,-107.37%
24,Base,16000,44800.0,21600.0,23200.0,42781.0,-19581.0,-43.71%
24,Agresivo,24000,67200.0,32400.0,34800.0,42781.0,-7981.0,-11.88%
25,Conservador,10200,28560.0,13770.0,14790.0,42781.0,-27991.0,-98.01%
25,Base,17000,47600.0,22950.0,24650.0,42781.0,-18131.0,-38.09%
25,Agresivo,25500,71400.0,34425.0,36975.0,42781.0,-5806.0,-8.13%
26,Conservador,10800,30240.0,14580.0,15660.0,42781.0,-27121.0,-89.69%
26,Base,18000,50400.0,24300.0,26100.0,42781.0,-16681.0,-33.1%
26,Agresivo,27000,75600.0,36450.0,39150.0,42781.0,-3631.0,-4.8%
27,Conservador,11100,31080.0,14985.0,16095.0,42781.0,-26686.0,-85.86%
27,Base,18500,51800.0,24975.0,26825.0,42781.0,-15956.0,-30.8%
27,Agresivo,27750,77700.0,37462.5,40237.5,42781.0,-2543.5,-3.27%
28,Conservador,11400,31920.0,15390.0,16530.0,42781.0,-26251.0,-82.24%
28,Base,19000,53200.0,25650.0,27550.0,42781.0,-15231.0,-28.63%
28,Agresivo,28500,79800.0,38475.0,41325.0,42781.0,-1456.0,-1.82%
29,Conservador,11700,32760.0,15795.0,16965.0,42781.0,-25816.0,-78.8%
29,Base,19500,54600.0,26325.0,28275.0,42781.0,-14506.0,-26.57%
29,Agresivo,29250,81900.0,39487.5,42412.5,42781.0,-368.5,-0.45%
30,Conservador,12000,33600.0,16200.0,17400.0,42781.0,-25381.0,-75.54%
30,Base,20000,56000.0,27000.0,29000.0,42781.0,-13781.0,-24.61%
30,Agresivo,30000,84000.0,40500.0,43500.0,42781.0,719.0,0.86%
31,Conservador,12300,34440.0,16605.0,17835.0,42781.0,-24946.0,-72.43%
31,Base,20500,57400.0,27675.0,29725.0,42781.0,-13056.0,-22.75%
31,Agresivo,30750,86100.0,41512.5,44587.5,42781.0,1806.5,2.1%
32,Conservador,12600,35280.0,17010.0,18270.0,42781.0,-24511.0,-69.48%
32,Base,21000,58800.0,28350.0,30450.0,42781.0,-12331.0,-20.97%
32,Agresivo,31500,88200.0,42525.0,45675.0,42781.0,2894.0,3.28%
33,Conservador,12600,35280.0,17010.0,18270.0,42781.0,-24511.0,-69.48%
33,Base,21000,58800.0,28350.0,30450.0,42781.0,-12331.0,-20.97%
33,Agresivo,31500,88200.0,42525.0,45675.0,42781.0,2894.0,3.28%
34,Conservador,12900,36120.0,17415.0,18705.0,42781.0,-24076.0,-66.66%
34,Base,21500,60200.0,29025.0,31175.0,42781.0,-11606.0,-19.28%
34,Agresivo,32250,90300.0,43537.5,46762.5,42781.0,3981.5,4.41%
35,Conservador,13200,36960.0,17820.0,19140.0,42781.0,-23641.0,-63.96%
35,Base,22000,61600.0,29700.0,31900.0,42781.0,-10881.0,-17.66%
35,Agresivo,33000,92400.0,44550.0,47850.0,42781.0,5069.0,5.49%
36,Conservador,13500,37800.0,18225.0,19575.0,42781.0,-23206.0,-61.39%
36,Base,22500,63000.0,30375.0,32625.0,42781.0,-10156.0,-16.12%
36,Agresivo,33750,94500.0,45562.5,48937.5,42781.0,6156.5,6.51%
